x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
0.098105,0.0072865,-0.010831,0,0,0
0.0221885,0.00818731,0.0146427,-0.0201815,0.000239469,0.00677186
0.0541301,-0.0171905,0.0261917,-0.0052589,-0.010352,0.0101196
0.0612373,0.018405,0.0164064,0.000493197,0.0119633,0.00487675
0.0157031,0.00140137,-0.00904675,-0.0355665,-0.000894412,-0.0167661
0.0106834,-0.0466048,-0.0245853,-0.0359718,-0.0430221,-0.0270097
-0.00899207,-0.0170112,0.0100638,-0.0512411,-0.0114084,0.0049681
0.00727428,-0.0341432,-0.00587588,-0.0308639,-0.0272146,-0.00851214
-0.0435806,0.00878124,-0.0533324,-0.0752669,0.0156355,-0.0524684
-0.0115067,-0.0274588,-0.0359302,-0.0487384,-0.00435779,-0.0476909
-0.0177672,-0.00050343,0.0158879,-0.0567116,0.0213793,-0.0141623
-0.0244668,0.0355652,-0.0239535,-0.0639177,0.0536116,-0.0480017
-0.06118,0.0435342,0.00192734,-0.0838345,0.052558,-0.0191319
-0.0475933,-0.0160145,0.0297067,-0.0650043,0.000258006,0.0185694
-0.00749489,-0.0129081,0.0256533,-0.0240212,-0.00970321,0.00961652
-0.040042,-0.0221861,0.0598756,-0.046011,-0.0205838,0.101757
-0.0342593,-0.0249866,0.0891354,-0.035688,-0.0198026,0.339927
-0.0532316,-0.0385479,0.0947549,-0.044705,-0.0283947,0.652715
-0.0907791,-0.0492352,0.198523,-0.071548,-0.0391839,0.934295
-0.0880841,-0.0246935,0.28974,-0.0636484,-0.0194383,1.45411
-0.0778534,-0.0515124,0.467391,-0.0484661,-0.0364864,1.82374
-0.0519921,-0.0679493,0.653007,-0.0242703,-0.0436054,2.38101
-0.126762,-0.106645,0.934808,-0.078286,-0.0628756,2.70052
-0.0527925,-0.0860055,1.20331,-0.0154675,-0.0408939,2.70328
-0.0355521,-0.126471,1.51813,-0.000279769,-0.0671625,3.09029
-0.0319426,-0.136434,1.81944,0.00368962,-0.0693852,3.1349
-0.0325877,-0.119395,2.13623,0.00330672,-0.0586126,2.85914
-0.031774,-0.106306,2.45513,0.00351982,-0.0458944,3.0237
-0.0960168,-0.0891841,2.69021,-0.0445335,-0.0293635,2.84
-0.0792398,-0.0449334,2.90193,-0.0296716,0.00514176,2.38581
-0.0698878,-0.0744138,3.16716,-0.031066,-0.0201672,2.32155
-0.0581662,-0.110373,3.39685,-0.0229017,-0.0456548,1.95679
-0.0365471,-0.132436,3.54796,-0.00234709,-0.056311,1.46756
-0.0040095,-0.134121,3.70932,0.0214685,-0.052163,1.29202
0.023577,-0.101906,3.85712,0.046093,-0.0303805,1.08085
-0.00739585,-0.0791444,3.97169,0.0232969,-0.0108271,0.758029
0.012041,-0.0377365,3.96343,0.0530848,0.0162534,0.456071
0.0206301,-0.050885,3.99355,0.103497,0.000107598,0.156591
0.044483,-0.0683454,4.01396,0.202358,-0.0242149,0.0667158
0.0255909,-0.0802987,4.02439,0.385894,-0.0427754,0.0402255
0.064995,-0.109464,4.04588,0.637991,-0.0730385,0.104082
0.182581,-0.110946,4.01337,1.09116,-0.0929579,0.180947
0.286141,-0.129075,3.95876,1.3525,-0.0717964,0.0990463
0.410087,-0.125488,4.00396,1.5747,-0.0832719,0.0844974
0.528421,-0.152359,4.0434,2.02548,-0.133318,0.0882867
0.739237,-0.154314,4.026,2.36099,-0.153537,0.0548341
1.01332,-0.139606,4.0617,2.41463,-0.085644,0.0269259
1.27371,-0.170517,4.04835,2.86926,-0.130913,-0.0224988
1.54811,-0.182287,4.0554,2.81545,-0.131874,-0.0372684
1.85561,-0.189029,4.07333,3.17219,-0.123939,-0.0340578
2.18573,-0.189748,4.07324,3.27504,-0.0127623,-0.0314039
2.46325,-0.213432,4.12294,2.96043,0.0409437,0.0275436
2.7706,-0.252088,4.11853,3.13483,0.135172,0.0312031
3.07425,-0.211103,4.14471,3.013,0.327544,0.0739551
3.37015,-0.152857,4.12553,2.77841,0.504908,0.0379528
3.64404,-0.139515,4.10963,2.83518,0.793416,0.0563334
3.9641,-0.035221,4.09728,2.68126,1.13898,0.0784266
4.19052,0.0769469,4.13426,2.2786,1.36871,0.117436
4.42031,0.240566,4.14785,2.33992,1.73046,0.104307
4.63506,0.389818,4.19208,2.07345,2.06032,0.105974
4.77498,0.545471,4.17858,1.61522,2.12074,0.0668038
4.95607,0.810014,4.17279,1.48205,2.55035,0.030202
5.08739,1.10739,4.18371,1.25364,2.68753,-0.0174568
5.21353,1.36688,4.15381,0.900231,2.55114,-0.045523
5.30794,1.64509,4.13601,0.747044,2.78812,-0.0678822
5.32308,1.90021,4.13034,0.463722,2.50232,-0.0606755
5.37202,2.14983,4.1753,0.325198,2.63067,-0.0674909
5.42699,2.46106,4.17105,0.20006,2.44786,-0.0419521
5.408,2.72273,4.16741,0.0494384,2.03285,-0.0123639
5.40184,2.94846,4.1183,-0.0409844,1.9189,-0.0275073
5.41064,3.10169,4.08362,-0.11063,1.56143,-0.0260255
5.36973,3.20486,4.08394,-0.170264,1.02461,0.0285497
5.31062,3.30989,4.09526,-0.237522,0.660167,0.0911687
5.26712,3.35406,4.09421,-0.258503,0.171949,0.100664
5.26599,3.2799,4.12346,-0.240942,-0.241103,0.0952669
5.21873,3.26673,4.16973,-0.259241,-0.755121,0.109344
5.20735,3.16721,4.24671,-0.243334,-1.15136,0.149785
5.16244,3.03773,4.24018,-0.270088,-1.64602,0.135229
5.1673,2.83833,4.21607,-0.234388,-1.99044,0.0904508
5.12103,2.69553,4.2287,-0.267278,-2.17156,0.0839815
5.06257,2.44406,4.25273,-0.327303,-2.73544,0.0904066
5.01892,2.16064,4.22417,-0.337587,-3.08444,0.0448238
4.9472,1.74645,4.24411,-0.333518,-3.20735,0.0334041
4.95922,1.42551,4.26042,-0.348918,-3.75288,0.0444893
4.93965,1.05762,4.25406,-0.375644,-3.71684,0.0359796
4.8931,0.691253,4.29451,-0.463232,-4.25294,0.0621877
4.79923,0.25241,4.24768,-0.593008,-4.482,0.0221843
4.72339,-0.200286,4.27343,-0.784706,-4.25869,0.0373072
4.6398,-0.612282,4.31875,-1.10707,-4.64821,0.0727127
4.55201,-1.1381,4.32075,-1.32273,-4.80611,0.0860904
4.36401,-1.57182,4.30647,-1.46586,-4.53247,0.0752759
4.17433,-2.05247,4.28867,-1.93225,-4.89927,0.0751112
3.96247,-2.483,4.32269,-2.14633,-4.45633,0.116253
3.72949,-2.95594,4.24766,-2.63319,-4.85014,0.053039
3.4339,-3.43095,4.28394,-2.97217,-4.86338,0.0478394
3.12887,-3.94072,4.29832,-3.3749,-4.75805,0.0333841
2.76806,-4.35279,4.34932,-3.4746,-4.26091,0.0538165
2.42368,-4.80273,4.36881,-3.97872,-4.61395,0.0523015
2.00259,-5.2089,4.38699,-3.92528,-4.21127,0.0500106
1.57325,-5.6352,4.37815,-4.53616,-4.40552,0.0424214
1.14533,-6.08502,4.37972,-4.44284,-3.94381,0.0443868
0.650502,-6.53672,4.35619,-5.08259,-4.27508,0.031347
0.120298,-6.93319,4.32738,-5.34156,-4.15238,0.00319362
-0.37996,-7.34786,4.36053,-5.10052,-3.62907,-0.00111184
-0.913963,-7.70892,4.32373,-5.60482,-3.62225,-0.042943
-1.50818,-8.06122,4.36119,-5.6529,-3.40812,0.000969827
-2.0395,-8.39872,4.3807,-5.1453,-2.9242,0.00970813
-2.56212,-8.64945,4.35523,-5.35402,-2.77339,-0.0378108
-3.07439,-8.94485,4.32491,-5.08001,-2.45368,-0.0791302
-3.53512,-9.14618,4.35451,-4.52984,-2.0923,-0.0347509
-3.98279,-9.34291,4.36515,-4.59814,-2.04113,-0.0238944
-4.39421,-9.4936,4.39411,-3.88506,-1.61265,-0.0276016
-4.77291,-9.66189,4.32693,-3.82165,-1.54446,-0.245142
-5.17873,-9.83675,4.27164,-3.61885,-1.44723,-0.475629
-5.48291,-9.99178,4.23481,-3.04447,-1.23316,-0.629313
-5.83695,-10.1106,4.15732,-2.88437,-1.16754,-0.808119
-6.12393,-10.1829,4.06371,-2.46525,-0.98739,-0.866077
-6.31959,-10.2937,3.95218,-2.08297,-0.865286,-0.795705
-6.51689,-10.3242,3.91798,-1.97643,-0.795096,-0.815145
-6.68626,-10.3935,3.88235,-1.70933,-0.688375,-0.767726
-6.82532,-10.4804,3.79511,-1.40695,-0.583756,-0.807208
-7.01659,-10.5551,3.71339,-1.44923,-0.633747,-1.03442
-7.157,-10.6503,3.62811,-1.30223,-0.606771,-1.05229
-7.26255,-10.6716,3.51837,-1.0573,-0.476413,-0.917079
-7.35738,-10.7119,3.42091,-0.974772,-0.455694,-0.975314
-7.47464,-10.7764,3.26971,-0.90253,-0.462218,-1.00352
-7.57809,-10.8411,3.1518,-0.774616,-0.405126,-0.936693
-7.6747,-10.8683,3.02245,-0.74595,-0.376461,-1.04464
-7.74473,-10.9135,2.89191,-0.642938,-0.316791,-0.984454
-7.87888,-10.9208,2.80529,-0.67902,-0.311495,-1.0523
-7.91052,-10.9486,2.71119,-0.611672,-0.276314,-1.04537
-7.9384,-10.9576,2.64054,-0.540395,-0.21411,-0.939252
-7.96441,-10.9786,2.58323,-0.529074,-0.203772,-0.963098
-8.05189,-10.9811,2.4586,-0.521531,-0.199665,-0.819904
-8.10954,-10.9972,2.40286,-0.493403,-0.132133,-0.477715
-8.1369,-11.0091,2.37624,-0.482459,-0.0781023,-0.133038
-8.15777,-11.0247,2.40245,-0.44273,-0.048288,0.214031
-8.17757,-11.051,2.41412,-0.420572,-0.101631,0.222497
-8.20939,-11.0506,2.43489,-0.398888,-0.0928768,0.201934
-8.21793,-11.1019,2.44913,-0.345289,-0.109892,0.101711
-8.25386,-11.1706,2.44422,-0.309168,-0.131647,0.0293046
-8.31378,-11.1358,2.51306,-0.355654,-0.122511,0.0821774
-8.38,-11.1595,2.54179,-0.337109,-0.107952,0.0936081
-8.38832,-11.0904,2.56486,-0.295746,-0.0368705,0.110723
-8.40492,-11.1169,2.54967,-0.284585,-0.0586773,0.101035
-8.44385,-11.122,2.54588,-0.307813,-0.0998208,0.111767
-8.44963,-11.0974,2.57935,-0.198232,-0.0566966,0.143524
-8.4408,-11.1289,2.56274,0.000771048,-0.0340207,0.135497
-8.48933,-11.125,2.5807,0.167943,0.00586977,0.150017
-8.45922,-11.1059,2.62585,0.375959,-0.0622922,0.233339
-8.40235,-11.1711,2.63901,0.650449,-0.129172,0.209258
-8.33507,-11.1427,2.67179,1.06369,-0.194983,0.211448
-8.26254,-11.1319,2.70781,1.37194,-0.306044,0.189836
-8.1166,-11.1988,2.75759,1.43972,-0.440968,0.22169
-7.96887,-11.2037,2.76183,1.87921,-0.6127,0.186862
-7.79279,-11.3307,2.76275,1.96169,-0.769026,0.156132
-7.54683,-11.4415,2.7551,2.64433,-1.11041,0.148569
-7.26673,-11.5749,2.77858,2.45313,-1.1238,0.145628
-7.01322,-11.6678,2.74789,2.68844,-1.164,0.0678399
-6.69029,-11.816,2.74227,3.19344,-1.26868,0.0379737
-6.33798,-11.884,2.75123,3.41661,-1.15637,0.0464914
-6.00971,-12.0308,2.73112,3.26231,-1.04828,0.0678067
-5.63996,-12.1021,2.76197,3.73285,-0.874821,0.0735781
-5.30772,-12.2074,2.7737,3.52697,-0.57461,0.0625257
-4.90433,-12.2507,2.81523,3.9601,-0.358289,0.0863039
-4.52222,-12.3016,2.79077,4.00621,-0.169292,0.0891492
-4.12621,-12.2755,2.89846,3.67072,0.211885,0.152964
-3.76928,-12.2038,2.91317,3.93193,0.635227,0.152305
-3.40866,-12.1408,2.89729,3.88946,0.954127,0.140141
-3.01203,-12.0445,2.89055,3.62363,1.06564,0.141188
-2.65101,-11.9195,2.91211,3.90385,1.55985,0.136844
-2.31842,-11.7613,2.93562,3.84192,1.9484,0.123515
-1.96067,-11.5576,3.00463,3.51426,2.08003,0.169995
-1.54265,-11.3171,2.98235,3.89138,2.46707,0.18289
-1.17666,-10.9772,2.99847,3.86798,2.867,0.155757
-0.788896,-10.692,3.04675,3.55841,2.92197,0.156032
-0.431557,-10.4013,3.0072,3.8705,3.36672,0.0881273
-0.0912432,-10.0626,3.02279,3.50991,3.22389,0.0752468
0.311539,-9.73626,3.05058,3.74068,3.57982,0.0688814
0.70423,-9.32351,3.05989,3.52247,3.60955,0.0804923
1.02649,-8.98869,3.07563,2.971,3.2798,0.106602
1.32083,-8.61036,3.12296,2.93716,3.51088,0.135224
1.58331,-8.26598,3.15996,2.50212,3.37403,0.0978043
1.78789,-8.00134,3.14468,1.937,2.92749,0.0675276
1.99537,-7.71239,3.14086,1.85963,2.97644,0.0794359
2.17478,-7.46954,3.12144,1.49644,2.52874,0.100873
2.33074,-7.22346,3.12424,1.38687,2.46474,0.124212
2.40948,-6.98484,3.16147,1.09607,2.13654,0.320665
2.47926,-6.79891,3.20671,0.785247,1.66343,0.573674
2.5962,-6.65977,3.26742,0.741687,1.45874,0.950642
2.64927,-6.57143,3.3923,0.563703,1.09402,1.40095
2.71809,-6.48013,3.52735,0.391968,0.785821,1.71891
2.73161,-6.39239,3.76415,0.334706,0.68015,2.2647
2.70096,-6.37572,4.0366,0.220469,0.509635,2.65278
2.73301,-6.30283,4.3294,0.140989,0.411411,2.75631
2.8194,-6.24032,4.6264,0.189128,0.389607,3.14533
2.85243,-6.17927,4.91909,0.138887,0.276595,3.23003
2.829,-6.13455,5.23758,0.0380835,0.179726,3.0111
