x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
0.098105,0.0072865,-0.010831,0,0,0
-0.00846112,0.00855099,0.0249271,-0.00906431,0.000107555,0.00304152
0.0420531,-0.0217434,0.0344416,0.00253555,-0.00609727,0.00371718
0.0539893,0.0183066,0.0208119,0.00830904,0.0101336,-0.000702218
0.0105375,0.000924924,-0.00655129,-0.0189387,0.00026984,-0.0185162
0.00830432,-0.0458095,-0.0224713,-0.0185586,-0.0350967,-0.0275131
-0.00873282,-0.0168364,0.0104192,-0.031989,-0.00752387,0.00024404
0.00822882,-0.0330259,-0.00530643,-0.0137997,-0.0222375,-0.012201
-0.039672,0.00832148,-0.0512649,-0.0567768,0.0180904,-0.054106
-0.00828422,-0.0264737,-0.0348817,-0.0317269,-0.00244967,-0.0488278
-0.0138934,-0.00050451,0.0152298,-0.0403257,0.0227223,-0.0141991
-0.0201236,0.0345476,-0.0232693,-0.0483675,0.0549502,-0.0481501
-0.0558649,0.0424537,0.00200167,-0.0709206,0.0546249,-0.0193767
-0.0427732,-0.0156575,0.0291652,-0.0534618,0.00117904,0.0175324
-0.00370609,-0.0125744,0.0251996,-0.0132438,-0.00752783,0.00906255
-0.0358804,-0.0215544,0.0584285,-0.0373459,-0.0183196,0.0953946
-0.030525,-0.0242254,0.0851952,-0.0282155,-0.0179336,0.311709
-0.0495263,-0.0375372,0.0859157,-0.0389636,-0.0270937,0.59151
-0.0868254,-0.0480475,0.181075,-0.0674272,-0.0378787,0.852572
-0.084568,-0.0239059,0.261533,-0.0604492,-0.0177032,1.32604
-0.0748964,-0.0502848,0.425,-0.0461624,-0.0356551,1.67233
-0.0498373,-0.0665339,0.595097,-0.0223077,-0.0436063,2.18828
-0.123665,-0.104754,0.859705,-0.0780238,-0.0644682,2.49967
-0.0513372,-0.084735,1.11522,-0.0150269,-0.0427866,2.52681
-0.0346757,-0.124738,1.41904,-6.10733e-05,-0.0699107,2.90494
-0.0313551,-0.134795,1.7116,0.00363687,-0.0726287,2.97416
-0.0321711,-0.118281,2.02511,0.00309544,-0.061309,2.75801
-0.0315141,-0.105573,2.34432,0.00325423,-0.048579,2.93851
-0.0946763,-0.0888885,2.58301,-0.0453303,-0.0321127,2.79782
-0.0783708,-0.0455608,2.80331,-0.0305745,0.00270009,2.41197
-0.0692571,-0.0744886,3.07886,-0.0310339,-0.0222993,2.38042
-0.0577369,-0.109771,3.32105,-0.0226881,-0.0479249,2.07387
-0.0365266,-0.131485,3.48927,-0.00244187,-0.0590717,1.64788
-0.00461608,-0.133274,3.66815,0.0215568,-0.0552825,1.50276
