x_hat_0,x_hat_1,x_hat_2,x_hat_3,x_hat_4,x_hat_5
0.098105,0.0072865,-0.010831,0,0,0
0.0990836,0.00347322,-0.00516037,-0.000783293,0.000876598,-0.001202
0.0994061,0.00218544,-0.0032439,0.000191343,-0.000714735,0.00106142
0.0995759,0.0014914,-0.00220733,-0.000600285,0.000216213,-0.000136303
0.0996876,0.00103006,-0.00151788,0.000363752,-0.00130305,0.00193041
0.0997698,0.000691999,-0.00100977,-0.000451184,-0.000251048,0.000633473
0.0998336,0.000434772,-0.000623762,0.000488618,-0.00165667,0.00244287
0.0998845,0.000238811,-0.000326813,-0.000333889,-0.000475779,0.0010509
0.0995489,0.000665913,-0.000745953,-0.00978399,0.0140438,-0.0150637
0.0987252,0.00153549,-0.00223255,-0.0163781,0.0150189,-0.0316377
0.097683,0.0022736,-0.00387346,-0.022143,0.0170873,-0.0307289
0.0969809,0.00272408,-0.00486139,-0.0149334,0.012706,-0.0261198
0.0967906,0.0029229,-0.00486367,-0.013293,0.0135119,-0.0109356
0.0968541,0.00259633,-0.00442245,-0.00926597,-0.000376896,-0.0137388
0.097161,0.00167988,-0.00171597,-0.00597768,-0.00529997,0.0549445
0.0976063,0.000878418,0.0110711,-0.00303181,-0.00415477,0.283659
0.0981698,0.000351019,0.0409868,0.000688211,-0.00378258,0.619483
0.09868,-0.000197082,0.0837873,-0.000239671,-0.00863628,0.855882
0.0990415,-0.000843711,0.14213,0.00042365,-0.0104976,1.35564
0.0994338,-0.00130299,0.21418,0.00328178,-0.00821562,1.65146
0.0998673,-0.00144648,0.296106,0.00442171,-0.00518247,2.14227
0.100231,-0.0011839,0.3815,0.00452734,0.00185198,2.33115
0.100567,-0.000653868,0.447035,0.00629811,0.00402528,2.2088
0.100918,-0.000155367,0.499448,0.00733303,0.00482579,2.43649
0.101251,0.000245076,0.543092,0.00831317,0.00494362,2.33775
0.101531,0.000277287,0.555615,0.0082692,-0.00231178,1.8954
0.101714,-1.2837e-05,0.548627,0.00765037,-0.00358256,1.8903
0.101786,-0.00024865,0.533001,0.00653484,-0.00291014,1.60509
0.101753,-0.00039776,0.490872,0.0053203,-0.0029102,1.05484
0.101273,-0.000629153,0.432127,-0.00584072,-0.00620221,0.85043
0.100401,-0.000936732,0.363841,-0.00873902,-0.00662058,0.375045
0.0997713,-0.00108649,0.275782,-0.00548942,-0.00410689,-0.173547
0.0994269,-0.00104558,0.181693,-0.00547289,-0.00251193,-0.415901
0.0994107,-0.00115792,0.0938225,0.000958898,-0.00796682,-0.674484
0.0997602,-0.00140074,0.00684939,0.00432564,-0.00684425,-1.0163
0.100797,-0.0016725,-0.0783719,0.0220691,-0.0104732,-1.24492
0.104016,-0.00219079,-0.159155,0.0708255,-0.0154531,-1.50118
0.111485,-0.00316907,-0.229532,0.160117,-0.0266168,-1.53632
0.128135,-0.00470107,-0.281108,0.372653,-0.037401,-1.49109
0.157331,-0.00662805,-0.312457,0.618266,-0.0481919,-1.35407
0.202779,-0.00928211,-0.3232,1.02026,-0.0707772,-1.15499
0.259742,-0.0109094,-0.321707,1.25279,-0.039201,-1.09856
0.317043,-0.0115709,-0.316931,1.43366,-0.0561497,-1.05526
0.381583,-0.0139456,-0.309466,1.8555,-0.0903143,-0.991681
0.453904,-0.0178743,-0.299198,2.10243,-0.115107,-0.926232
0.513301,-0.0197327,-0.288263,2.01842,-0.0620904,-0.900672
0.566311,-0.0200592,-0.277942,2.35075,-0.086783,-0.865223
0.610933,-0.0210765,-0.267196,2.16725,-0.0831214,-0.815869
0.644643,-0.0213569,-0.255396,2.37166,-0.07403,-0.760367
0.674957,-0.0171264,-0.24223,2.31434,0.0371165,-0.695108
0.67883,-0.00714833,-0.227072,1.87029,0.111722,-0.612967
0.666059,0.00769652,-0.210429,1.89082,0.239786,-0.547272
0.647576,0.0296878,-0.192816,1.62487,0.410689,-0.468605
0.610231,0.0577376,-0.175808,1.24856,0.559985,-0.438686
0.566443,0.095098,-0.159318,1.1853,0.861984,-0.361953
0.520705,0.144925,-0.141565,0.885011,1.16285,-0.287437
0.458057,0.199678,-0.123803,0.402585,1.349,-0.23577
0.393399,0.257521,-0.108268,0.386035,1.63508,-0.221736
0.333084,0.320897,-0.0962102,0.0614866,1.90931,-0.21975
0.259338,0.377776,-0.0872007,-0.405832,1.90874,-0.218779
